adr,,
aeg,,
alb,,
ank,tur,ftur
apu,ita,
arm,tur,
bal,,
bar,,
bel,,
ber,ger,ager
bla,,
boh,aus,
bre,fra,ffra
bud,aus,aaus
bul,,
bur,fra,
cly,bri,
con,tur,atur
den,,
eas,,
edi,bri,fbri
eng,,
fin,rus
gal,aus,
gas,fra,
gre,,
gol,,
gob,,
hel,,
hol,,
ion,,
iri,,
kie,ger,fger
lvp,bri,abri
lvn,rus,
lon,bri,fbri
mar,fra,afra
mao,,
mos,rus,arus
mun,ger,ager
nap,ita,fita
nao,,
naf,,
nth,,
nwy,,
nwg,,
par,fra,afra
pic,fra,
pie,fra,
por,,
pru,ger,
rom,ita,aita
ruh,ger,
rum,,
ser,,
sev,rus,frus
sil,ger,
ska,,
smy,tur,atur
spa,,
stp,rus,frus_sc
swe,,
syr,tur,
tri,aus,faus
tun,,
tus,ita,
trl,aus
tys,,
ukr,rus,
ven,ita,aita
vie,aus,aaus
wal,bri,
war,rus,arus
wes,,
yor,bri,
